env,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence,wind_force
WindyCartPole-v1,decision_tree,1,False,15.144,28.0413324088748,0.1,0.6
WindyCartPole-v1,decision_tree,1,True,29.78,28.0546125587643,0.1,0.6
WindyCartPole-v1,decision_tree,2,False,24.104,27.3568298207766,0.1,0.6
WindyCartPole-v1,decision_tree,2,True,68.944,27.5156017927593,0.1,0.6
WindyCartPole-v1,decision_tree,4,False,55.832,27.4451090055882,0.1,0.6
WindyCartPole-v1,decision_tree,4,True,72.394,27.4131073569633,0.1,0.6
WindyCartPole-v1,decision_tree,6,False,67.6,27.2063013017751,0.1,0.6
WindyCartPole-v1,decision_tree,6,True,72.716,27.5506675009627,0.1,0.6
WindyCartPole-v1,decision_tree,8,False,71.278,27.358045287466,0.1,0.6
WindyCartPole-v1,decision_tree,8,True,63.896,27.272712501565,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,1,False,77.862,14.5397311397087,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,1,True,45.276,14.581110610478,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,2,False,67.598,26.172206396639,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,2,True,30.778,20.2820198193515,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,4,False,66.446,35.2738332781507,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,4,True,57.446,39.7989414406573,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,6,False,56.17,59.2380089015489,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,6,True,50.502,51.1844592293375,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,8,False,50.492,53.3793831498059,0.1,0.6
WindyCartPole-v1,linear_tree_logistic,8,True,33.052,49.9389479002784,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,1,False,47.1,34.5092585562633,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,1,True,46.516,35.0306341473901,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,2,False,58.912,41.144820545899,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,2,True,35.276,46.8050797709491,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,4,False,65.46,55.3120593033914,0.1,0.6
WindyCartPole-v1,linear_tree_ridge,4,True,37.388,56.5004639991441,0.1,0.6
