env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence,wind
LunarLander-v2,DDQN,,,129.358097853736,45.0263986106395,2,5
LunarLander-v2,decision_tree,1,False,-113.639948417861,30.2198706268536,2,5
LunarLander-v2,decision_tree,1,True,-148.521914182388,30.3162980215164,2,5
LunarLander-v2,decision_tree,2,False,-57.0424089067919,29.8651560608474,2,5
LunarLander-v2,decision_tree,2,True,-84.8072977588054,29.49765357609,2,5
LunarLander-v2,decision_tree,4,False,-123.89357616995,30.0602481644327,2,5
LunarLander-v2,decision_tree,4,True,-68.1281608793039,29.9659015871964,2,5
LunarLander-v2,decision_tree,6,False,-116.777868161577,29.5560780400535,2,5
LunarLander-v2,decision_tree,6,True,-109.740975891818,29.6848439667317,2,5
LunarLander-v2,decision_tree,8,False,-53.9929802581983,30.116666225108,2,5
LunarLander-v2,decision_tree,8,True,-18.7876811821707,29.8080330421722,2,5
LunarLander-v2,linear_tree_logistic,1,False,157.523041880501,14.4783197606348,2,5
LunarLander-v2,linear_tree_logistic,1,True,57.8776490864497,14.9519129462963,2,5
LunarLander-v2,linear_tree_logistic,2,False,159.422532177815,26.5012980640413,2,5
LunarLander-v2,linear_tree_logistic,2,True,85.5484129351774,26.2910868305132,2,5
LunarLander-v2,linear_tree_logistic,4,False,70.4652066491357,54.9209170671313,2,5
LunarLander-v2,linear_tree_logistic,4,True,104.61272382628,46.7476359783978,2,5
LunarLander-v2,linear_tree_logistic,6,False,91.9044948365433,45.4203795919063,2,5
LunarLander-v2,linear_tree_logistic,6,True,151.241181661864,48.0275498236637,2,5
LunarLander-v2,linear_tree_logistic,8,False,130.123109911049,46.306326783555,2,5
LunarLander-v2,linear_tree_logistic,8,True,106.519170287058,54.3219388375835,2,5
LunarLander-v2,linear_tree_ridge,1,False,203.554429494412,37.2719575776754,2,5
LunarLander-v2,linear_tree_ridge,1,True,91.0568469628827,37.3803484726826,2,5
LunarLander-v2,linear_tree_ridge,2,False,114.566176842525,50.1311355418002,2,5
LunarLander-v2,linear_tree_ridge,2,True,81.6676910785271,49.5993094200715,2,5
LunarLander-v2,linear_tree_ridge,4,False,113.799949427171,71.0272596696014,2,5
LunarLander-v2,linear_tree_ridge,4,True,92.5593583343045,71.4020504413959,2,5
LunarLander-v2,linear_tree_ridge,6,False,87.4212349332489,77.2775508538249,2,5
LunarLander-v2,linear_tree_ridge,6,True,56.4013103289571,70.6498900327136,2,5
LunarLander-v2,linear_tree_ridge,8,False,85.6602808611297,78.0879897532881,2,5
LunarLander-v2,linear_tree_ridge,8,True,141.18092594803,75.6039953819093,2,5
LunarLander-v2,DDQN,,,142.802156718619,44.4266263343697,2,10
LunarLander-v2,decision_tree,1,False,-116.598316582078,29.9121407509394,2,10
LunarLander-v2,decision_tree,1,True,-147.424253534776,29.9792228948038,2,10
LunarLander-v2,decision_tree,2,False,-58.6430534865304,29.7527944291721,2,10
LunarLander-v2,decision_tree,2,True,-95.385013934656,30.6005983560091,2,10
LunarLander-v2,decision_tree,4,False,-122.427092289717,30.472161128193,2,10
LunarLander-v2,decision_tree,4,True,-83.836590611679,30.1785935692769,2,10
LunarLander-v2,decision_tree,6,False,-105.951482534545,30.3857577867412,2,10
LunarLander-v2,decision_tree,6,True,-105.643122637484,29.9221353614174,2,10
LunarLander-v2,decision_tree,8,False,-53.3495953110686,30.1347038787245,2,10
LunarLander-v2,decision_tree,8,True,-21.7032563613664,29.9153105302591,2,10
LunarLander-v2,linear_tree_logistic,1,False,111.34164997037,14.599906728141,2,10
LunarLander-v2,linear_tree_logistic,1,True,43.1108300186062,14.4079365003581,2,10
LunarLander-v2,linear_tree_logistic,2,False,105.83168382556,25.339685823235,2,10
LunarLander-v2,linear_tree_logistic,2,True,99.7563655331101,25.4600867332007,2,10
LunarLander-v2,linear_tree_logistic,4,False,35.8909278492185,52.5448574596071,2,10
LunarLander-v2,linear_tree_logistic,4,True,49.8880617636526,45.962140590307,2,10
LunarLander-v2,linear_tree_logistic,6,False,74.4371686655924,45.0941130374051,2,10
LunarLander-v2,linear_tree_logistic,6,True,95.2599406162291,45.888311011364,2,10
LunarLander-v2,linear_tree_logistic,8,False,102.118934920529,45.6428947780935,2,10
LunarLander-v2,linear_tree_logistic,8,True,103.810190305396,55.6366043699013,2,10
LunarLander-v2,linear_tree_ridge,1,False,192.529568334204,38.104619340525,2,10
LunarLander-v2,linear_tree_ridge,1,True,98.4051544737809,38.1201621234354,2,10
LunarLander-v2,linear_tree_ridge,2,False,95.1469810793147,49.7771656474451,2,10
LunarLander-v2,linear_tree_ridge,2,True,61.9321201222801,49.3900019060012,2,10
LunarLander-v2,linear_tree_ridge,4,False,98.615817502343,71.3951186874431,2,10
LunarLander-v2,linear_tree_ridge,4,True,50.7855670001573,71.7832960826525,2,10
LunarLander-v2,linear_tree_ridge,6,False,55.311868046868,80.076868220034,2,10
LunarLander-v2,linear_tree_ridge,6,True,43.7104263622771,70.9693207075517,2,10
LunarLander-v2,linear_tree_ridge,8,False,26.2910002314071,79.1151436273032,2,10
LunarLander-v2,linear_tree_ridge,8,True,110.232205198163,78.5148028419054,2,10
LunarLander-v2,DDQN,,,103.919490650056,45.7701439745953,2,15
LunarLander-v2,decision_tree,1,False,-118.030396521796,31.3388129698161,2,15
LunarLander-v2,decision_tree,1,True,-152.224517210495,31.1617865583031,2,15
LunarLander-v2,decision_tree,2,False,-74.0934030499632,30.7957184785256,2,15
LunarLander-v2,decision_tree,2,True,-94.1545293820883,30.7093024237659,2,15
LunarLander-v2,decision_tree,4,False,-136.344102876496,30.7809328409246,2,15
LunarLander-v2,decision_tree,4,True,-94.707337129339,31.0201985190182,2,15
LunarLander-v2,decision_tree,6,False,-125.289728968098,31.4216632294025,2,15
LunarLander-v2,decision_tree,6,True,-141.002788722286,30.5967038578179,2,15
LunarLander-v2,decision_tree,8,False,-58.0066024359686,31.3569500832631,2,15
LunarLander-v2,decision_tree,8,True,-42.9432220592266,30.9883035751475,2,15
LunarLander-v2,linear_tree_logistic,1,False,125.953550242469,15.1029243272963,2,15
LunarLander-v2,linear_tree_logistic,1,True,44.9654802077471,15.1331193355482,2,15
LunarLander-v2,linear_tree_logistic,2,False,52.2237836982901,27.1629767383614,2,15
LunarLander-v2,linear_tree_logistic,2,True,50.5605020410745,26.9976994488301,2,15
LunarLander-v2,linear_tree_logistic,4,False,42.1852826747147,56.4092044988105,2,15
