env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,turbulence_power,wind_power
WindyCartPole-v1,decision_tree,1.0,True,41.103,24.94227572196677,0.1,0.2
WindyCartPole-v1,decision_tree,1.0,False,15.016,25.67772496004262,0.1,0.2
WindyCartPole-v1,linear_tree_logistic,1.0,False,152.362,38.19851752405455,0.1,0.3
WindyCartPole-v1,DDQN,,,145.281,33.22594240816074,0.1,0.3
WindyCartPole-v1,decision_tree,6.0,True,128.894,25.544640984064426,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,6.0,False,126.94,104.13181308492204,0.1,0.3
WindyCartPole-v1,decision_tree,6.0,False,126.829,25.73053684094332,0.1,0.3
WindyCartPole-v1,decision_tree,8.0,False,126.594,25.42332490481381,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,4.0,False,123.701,82.21881363934001,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,4.0,True,120.923,64.71872152526814,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,4.0,False,115.096,59.92642308160145,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,2.0,False,109.227,50.947260796323256,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,8.0,False,107.849,79.40394860406678,0.1,0.3
WindyCartPole-v1,decision_tree,2.0,True,107.58,25.98959208031232,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,8.0,False,106.663,91.56204454215612,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,2.0,False,105.575,66.61248151551031,0.1,0.3
WindyCartPole-v1,decision_tree,4.0,True,105.38,25.845528677168343,0.1,0.3
WindyCartPole-v1,decision_tree,4.0,False,101.872,25.731041611041302,0.1,0.3
WindyCartPole-v1,decision_tree,8.0,True,101.647,25.72082288705028,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,1.0,True,100.393,59.51125304553107,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,1.0,True,91.241,38.01572709637115,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,6.0,True,89.913,77.80531510460112,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,1.0,False,85.379,59.88960381358414,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,8.0,True,80.854,98.95156571103472,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,6.0,False,75.614,85.73532241383872,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,2.0,True,73.755,73.07378337739813,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,6.0,True,69.193,105.20586971225416,0.1,0.3
WindyCartPole-v1,linear_tree_ridge,4.0,True,66.548,81.98331734988278,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,2.0,True,64.38,44.30241026716372,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,8.0,True,50.1,76.68307630738524,0.1,0.3
WindyCartPole-v1,decision_tree,1.0,True,39.919,26.04968250707683,0.1,0.3
WindyCartPole-v1,decision_tree,2.0,False,36.852,27.20155668620428,0.1,0.3
WindyCartPole-v1,decision_tree,1.0,False,15.066,26.16410493827161,0.1,0.3
WindyCartPole-v1,linear_tree_logistic,1.0,False,124.863,38.7766491915139,0.1,0.4
WindyCartPole-v1,DDQN,,,117.432,33.4312444648818,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,4.0,False,98.959,81.85705968128215,0.1,0.4
WindyCartPole-v1,decision_tree,8.0,False,97.861,26.085891325451403,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,6.0,False,96.377,105.17139325772747,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,4.0,True,94.009,66.58866834026529,0.1,0.4
WindyCartPole-v1,decision_tree,6.0,True,92.379,26.06427429394126,0.1,0.4
WindyCartPole-v1,decision_tree,6.0,False,92.09,26.08378669779564,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,4.0,False,89.164,60.6561004777713,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,2.0,False,89.067,65.52410824435538,0.1,0.4
WindyCartPole-v1,decision_tree,2.0,True,86.904,26.031420475467183,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,2.0,False,85.882,51.364178104841535,0.1,0.4
WindyCartPole-v1,decision_tree,4.0,True,84.822,26.149673150833515,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,8.0,False,82.979,91.67886641198376,0.1,0.4
WindyCartPole-v1,decision_tree,4.0,False,80.622,26.08173897943489,0.1,0.4
WindyCartPole-v1,decision_tree,8.0,True,80.289,25.95137510742443,0.1,0.4
