env_name,model_type,max_depth,is_reweight,avg_reward,avg_time,wind_power,turbulence_power
WindyCartPole-v1,decision_tree,1,False,15.077,26.759957020627443,0.1,0.4
WindyCartPole-v1,decision_tree,1,True,37.876,26.76874374273946,0.1,0.4
WindyCartPole-v1,decision_tree,2,False,30.864,26.560140616899947,0.1,0.4
WindyCartPole-v1,decision_tree,2,True,85.157,26.671393026997194,0.1,0.4
WindyCartPole-v1,decision_tree,4,False,81.003,26.849708195992736,0.1,0.4
WindyCartPole-v1,decision_tree,4,True,85.742,26.743594002939048,0.1,0.4
WindyCartPole-v1,decision_tree,6,False,94.413,26.74028678254054,0.1,0.4
WindyCartPole-v1,decision_tree,6,True,93.673,26.805709980463952,0.1,0.4
WindyCartPole-v1,decision_tree,8,False,97.114,26.622609366311753,0.1,0.4
WindyCartPole-v1,decision_tree,8,True,79.501,26.945873838064927,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,1,False,127.964,14.072440084711324,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,1,True,70.349,14.348368661956815,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,2,False,85.756,25.01408088063809,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,2,True,45.04,19.411008592362347,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,4,False,89.3,33.774156573348264,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,4,True,93.796,38.36671609663526,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,6,False,59.528,56.113540249966405,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,6,True,72.166,48.594926350358904,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,8,False,80.006,50.85482630052746,0.1,0.4
WindyCartPole-v1,linear_tree_logistic,8,True,38.676,47.53744040231668,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,1,False,63.498,34.45840585530253,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,1,True,73.924,33.853682200638495,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,2,False,89.056,39.59985688780093,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,2,True,50.747,45.84025333517253,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,4,False,96.623,53.89205087815532,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,4,True,48.393,54.00528473126278,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,6,False,96.757,74.15589887036596,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,6,True,56.827,74.77590300385381,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,8,False,84.781,63.35016073176773,0.1,0.4
WindyCartPole-v1,linear_tree_ridge,8,True,68.725,68.75993500181886,0.1,0.4
WindyCartPole-v1,DDQN,,,46.773,44.18645900412632,0.1,0.6
WindyCartPole-v1,decision_tree,1,False,15.178,26.796230201607592,0.1,0.6
