Model,wind=0.0,wind=5.0,wind=10.0,wind=15.0,wind=20.0
ddqn,208.87,204.37,182.25,163.34,124.06
linear_dt,191.79,181.21,152.19,115.71,66.6
logistic_dt,234.48,227.24,196.43,151.06,75.5
simple_dt,115.18,109.46,97.17,71.56,29.35
